,emotion,labels_clean
34741,annoyed,Thats true I would be mad about that as well
34742,annoyed,She did but it was still really frustrating
34775,annoyed,So annoying Where were their parents
34776,annoyed,What a pain in the you know what I wish the parents could be punished too Haha
34777,annoyed,They were just standing there watching I wish people could control their kids better
34830,disgusted,Ugh that sounds really unpleasant  Do not want lol
34831,disgusted,Sometimes I want to be like you are not discreet
34832,disgusted,it was so obvious what he was doing
34840,angry,That is horrible
34841,angry,It was just a tire he couldve let it go
34842,angry,i wanted to say something but it happened so quick and the dude was jacked so i let it go
34850,disgusted,Wow how that happened
34851,disgusted,That is terrible What did you do then
34852,disgusted,He jumped off of a swing and landed wrong I was sick to my stomach when I witnessed it 
34892,angry,Oh no did you file a police report
34893,angry,That is good glad it will get taken care of
34894,angry,No I didnt but I reached out to their insurance and hes going to be paying for it 
34907,annoyed,That can definitely get aggravating It always seems to happen at the worst time
34908,annoyed,I understand maybe you can set up certain times or something
34909,annoyed,specially in the summer months
34958,annoyed,Thats terrible can you reprint them
34959,annoyed,that sucks
34960,annoyed,Yea but they are in a bunch of different files and sorted in a specific way Im in a hurry too
35000,angry,I hate other drivers  It seems like they are getting worse every day  Did you honk at them or anything
35001,angry,I would be too  Im happy you didnt get into an accident or even worse killed
35002,angry,I did because they almost swerved into me and killed me I was so mad
35070,annoyed,OMG I know Its impossible to sleep  Im sorry that happened to you
35071,annoyed,Those scoundrels How can they get away with that
35072,annoyed,Worse that all of the furniture my new neighbors decided to hang pictures too AGH
35073,annoyed,I already dont like them lol
35080,angry,Woah thats nuts Have you called to complain
35081,angry,Thats ridiculous Can you switch
35082,angry,Yeah I have been on the phone with them all day  They said it was part of the contract
35083,angry,Im definitely planning to
35113,disgusted,wow that is embarassing for them maybe they had a crazy night and had no time to shower
35114,disgusted,oh gosh that is awful sounds like depression
35115,disgusted,It was horrible  It had to have been from not bathing for quite some time
35123,annoyed,Ouch Are you okay
35124,annoyed,Im so sorry
35125,annoyed,yea just a tad mad about it
35144,annoyed,That sucks if it had been in the coffee shop maybe it could have been replaced
35145,annoyed,They have these new portable cup holders that attach to almost anything Maybe that can help in the future
35146,annoyed,I was already five blocks away I had to drink the gross coffee at the office I usually dont buy coffee so I was trying to treat myself 
35188,annoyed,Im sorry to hear that Have you called IT
35189,annoyed,Maybe its time for a new printer
35190,annoyed,Theyre about as useless as my printer This stupid thing never acts right
35222,disgusted,Oh my gosh thats disgusting I hate when there are flying things buzzing around Soo annoying
35223,disgusted,Seriously I wonder where those babies would have been laid You probably saved someones lunch from being a birthing suite
35224,disgusted,I let it make me much more annoyed than it should have to the point where I was snapping at other people unnecessarily just because of how mad it was making me But yeah not gonna lie felt a little satisfied too that I prevented it from creating more little nuissances
35267,disgusted,Ew what did you do
35268,disgusted,Aw thats disappointing
35269,disgusted,Dumped my coffee out and drove to work  without my morning coffee  I didnt have time to make another cup
35270,disgusted,5
35277,angry,Im guessing she didnt ask to use them  Has she taken them in the past
35278,angry,That would be very frustrating Hopefully she will learn to replace things as she gets older
35279,angry,she isnt very good at bringing things back
35280,angry,hopefully
35309,disgusted,Thats gross Did you make the sandwich yourself or buy it from a restaurant
35310,disgusted,Nasty That makes me want to not eat there anymore but I guess it happens sometimes
35311,disgusted,I hope you got a refund
35312,disgusted,From jasons deli 
35313,disgusted,Yeah Pretty gross Not the way to end lunch on a friday
35314,disgusted,It was catered lunch So on refunds 
35356,disgusted,That is a very big problem to me However if you signed a new lease with him it seems as if you can deal with it right
35357,disgusted,Well it seems that you have to deal with him for at least another year With that in mind I hope you have more than one bathroom I suggest you let him keep his poop in one without cleaning it up until it starts to bother him
35358,disgusted,Yeah I guess I mean its much more annoying to me to have to do another roommate search Searching for roommates and apartments in general is just so annoying and Id rather spend the time trying to make money for rent and all that But yeah not sure why some people have these kind of quirks
35414,annoyed,Oh man mine too Its so annoying
35415,annoyed,Sure does I think they get a little jealous and just want our attention Theyre also very curious about the world which is a good thing
35416,annoyed,The most question are asked when Im talking to someone else does that happen to you too
35417,annoyed,Thats all true
35421,angry,I would have though that your crystal ball would have forewarned you 
35422,angry,Did you keep your receipt  Maybe you can exchange it or get your money back  
35423,angry,No in fact I cant even try to get it back now because the energy in it is now ruined
35480,angry,Oh that sucks I would honk harder at him
35481,angry,Yeah some cities have a lot of people and some really bad drivers Theyre rude and disrepectful to all other people even pedestrians
35482,angry,Lol I shouldve done that Anything to show my extreme displeasure I live in a big city so bad drivers are everywhere
35510,angry,Thats going to be a pain to fix yourself
35511,angry,That was really shady of them to do that wonder why they did
35512,angry,Im more upset at the fact that they lied about having insurance
35776,annoyed,I bet she was really happy about that 
35777,annoyed,Yikes that would drive me crazy
35778,annoyed,It would drive me crazy also she should be more considerate 
35779,annoyed,Maybe she will start paying on time
35780,annoyed,she was but I am not I think she has paid on time maybe twice in two years
35781,annoyed,It drives me more than crazy I wouldnt do that to anyone
35782,annoyed,exactly
35789,angry,I feel you on that That is awful Is there anyone above him
35790,angry,You want to make trouble
35791,angry,Oh ok I see Well youre not making trouble anyhow he is
35792,angry,Yes but I want to make trouble He is trying his best but he didnt succeed
35793,angry,I dont want to make trouble sorry
35794,angry,Why this happened Is he bad at what he is doing
35795,angry,That is terrible if he blamed you
35796,angry,He also wasted 30 minutes of my time and his own and did it out of spite I think so Some people just like to be miserable and blame others
35833,disgusted,Why is that
35834,disgusted,I get that I guess you can just bring cleaning supplies
35835,disgusted,some people are just so nasty
35836,disgusted,i already have to smell them im not going to clean up after them
35844,annoyed,What does he ask about
35845,annoyed,Wow That has got to be annoying I can never finf my landlord
35846,annoyed,He is afraid that some person run away without paying the rent He is afraid that people use too much the heating system
35851,disgusted,Howd they ruin it
35852,disgusted,Sounds like a mess were they punished in some way 
35853,disgusted,Sorry ruin They simply decided they would not do the project according to instructions and just wanted to give me a hard time and ruin the time we had to work on it
35854,disgusted,I hope so I reported them but who knows You know how some bosses dont care 
35877,angry,How old is she
35878,angry,you didnt make them clean it up
35879,angry,5 and my daughter is 4 They destroyed the playroom
35880,angry,The went over to my sister before I saw it 
35885,annoyed,OMG I dont blame you I would be extremely upset also
35886,annoyed,Mine does also It seems like it just keeps getting worse and worse 
35887,annoyed,YES I hate it I cant wait till this dark time in our history is over Hopefully a few people end up in jail 
35888,annoyed,I know right I swearmy blood boils at ANY kind of injustice or cruelty
35889,annoyed,So true Especially since you know who got in officeA big bully
36014,disgusted,yuk did you pull it out and continue to eat
36015,disgusted,smart move
36016,disgusted,NO I sent it back and ordered something else 
36062,disgusted,Oh wow Did you get your money back
36063,disgusted,Oh good luck with that Next time use airbnb or vrbo
36064,disgusted,No I was not able to I need to sue the landlord
36127,annoyed,Yeah that is pretty upsetting I dont get what is so hard about throwing away your trash 
36128,annoyed,Maybe the kids will see all of the trash and see that it is bad and grow up to not  litter
36129,annoyed,I know right People are just so lazy or dont care I guess
36130,disgusted,Oh yeah those shows can fascinating
36131,disgusted,Its true but I also cant help but watch Its exciting to learn in any case
36132,disgusted,Yeah I dont really know It was really really gross 
36195,disgusted,That is weird Did you say anything
36196,disgusted,Well that is pretty gross
36197,disgusted,I was too grossed out to talk to him besides I thought it was none of my business
36228,annoyed,Thats super frustrating Did you walk out
36229,annoyed,Thats the bit I kind of dont like about restaurants I get why they dont let you get your own beverages but at the same time it seems unnecessary to have to wait for someone to refill your glass
36230,annoyed,Yes We got some free drinks basically
36240,angry,That makes a lot of sense I wouldnt be happy either I hope that they have good insurance
36241,angry,Wow Thats aweful Is your mom ok
36242,angry,Man that really does stink Hopefully the police will find some way to catch the guy
36243,angry,Nope They ran into her then drove off an old guy
36244,angry,Yes they put a huge crushed in dent in the back corner They didnt get his plates on the camera  And its like 500 to pay the deductible to get it fixedSeriously insurance companies suck 
36258,angry,Kids can be so annoying sometimes  I hate those shoes with wheels that they have  so annoying
36259,angry,I just saw a girl wearing them at walgreens tonight  I wanted to trip her lol
36260,angry,I dont think that they sell those anymore they were kinda cool but annoying
36288,annoyed,They are really bad especially if you have pets
36289,annoyed,Yea You have to be careful with flies because they can lay eggs in your pets food
36290,annoyed,I dont have any pets but I want a cat
36399,angry,i can relate my brothers ex wife  uses all the child support money on her self and her crack head boyfriend  my brother buys my nieces close and toys because she wont
36400,angry,its horrible to hear  but i agree with you 100 percent some people should not have kids at all
36401,angry,Oh my goodness  My sister in law refuses to take the boys to the doctor even when they run a high fever like 104  My mother in law steps in all the time
36454,angry,Wow thats a terrible situation Did you report it to the police
36455,angry,Well thats no very helpful What about cancelling your card at the bank and reporting fraudulent charges 
36456,angry,I report it to the police but they said that I need to proove that I didnt give my credit card to her
36586,annoyed,I used to have to be on call and I hated it especially after I worked all week
36587,annoyed,Thats true that is part of it I guess
36588,annoyed,Yeah its a big pain but thats lifework I guess
36602,angry,ah no thats horrible i hate to hear that
36603,angry,thats legit i love mma and jiu jitsu is crucial 
36604,angry,he bumped into one of the main ones that jumped him and my brother beat him up twice  shortly after we both joined jiu jitsu 
36666,angry,Was there too much work
36667,angry,Did you get any help
36668,angry,the work just kept piling up as the day went on
36676,disgusted,Eww thats gross Poor kid needs to learn some manners
36677,disgusted,I bet I would have had to look away
36678,disgusted,Yes thats what I was thinking I almost thew up
36682,annoyed,That is annoying Do they say anything when you answer
36683,annoyed,I dont blame you
36684,annoyed,Oh I dont answer numbers I dont recognize
36743,angry,oh no Did you put it in rice 
36744,angry,Sure  Then cook the rice later
36745,angry,Oh I can put a whole laptop in rice
36802,annoyed,that is the worst i hate when people cant park
36803,annoyed,i know the feeling there are a ton of people like that too
36804,annoyed,I just dont like inconsiderate people Like they own the world
36895,annoyed,lol  Put some headphones on yourself and tune him out
36896,annoyed,Maybe you could play your own video games
36897,annoyed,Oh  Maybe watch some cool youtube vids
36898,annoyed,Good idea
36899,annoyed,Havent really found one I like yet
36904,annoyed,Do you even have a dog
36905,annoyed,Thats so disgusting You should catch them one day and drag them to the police station
36906,annoyed,No It is people that pass by which let their poop in my yard
36938,disgusted,lol dude is living the life
36939,disgusted,lol he has no cares which is always good
36940,disgusted,I mean I guess you could say that Not caring what others think is probably a good way to live at least for him Grossed me out so bad that I couldnt eat dinner though
36947,annoyed,Take the knife and destroy it the next time it lands That way they will learn a valuable lesson
36948,annoyed,Kids can be annoying and such outcomes can teach them on how to properly behave
36949,annoyed,I should probably do that I sometime think that they are doing that in purpose
36957,angry,oh no what does she do
36958,angry,thats sad i hate to hear that
36959,angry,Shes a 45 year old special ed teacher that still lives with her mom and lets her mom raise her two boys  The boys want nothing to do with her because she doesnt take care of them at all
36963,angry,Oh no Did they steal a lot
36964,angry,I bet Did they damage anything
36965,angry,Luckily they didnt take anything It made me so mad
36972,angry,I dont blame you that is so scary I am glad you are okay
36973,angry,I hope they do too That is a dangerous person
36974,angry,Thank I just really hope that the police catch the guy I want him behind bars
37023,annoyed,I am the same lol I walk fast Too fast sometimes
37024,annoyed,LOL you get there faster
37025,annoyed,Yeah Ive been told that I walk as fast a some people run 
37041,angry,hell no it does not  these people out here stealing that is exactly why im afraid of buying from e bay  a lot of bad reviews 
37042,angry,i would be really upset too  i have received defective merchandise too and its upsetting  waiting for the product for 1 week and checking the mail every day  only to get it broken
37043,angry,I had to calm myself down before messaging the seller It could be that it got damaged in shipping but who knows
37078,annoyed,Uh oh  Better go investigate
37079,annoyed,Yeah that would suck  You should throw some peanuts or corn up there
37080,annoyed,haha do it  Not like youll be sleeping tonight anyway
37081,annoyed,haha YES  Sounds like a fun Friday night D
37082,annoyed,Well I think theres a family of squirrels living up there Im not worried about it but its keeping me from falling asleep
37083,annoyed,I tempted to I think Im going to infiltrate their Fort Knox of nuts and scare them off
37084,annoyed,Lol operation Scared Nutless is in action 
37106,angry,Yikes You got one of the bad ones They sure makes things hard 
37107,angry,Maybe he needs to break away from her a bit Maybe then she will mind her own business 
37108,angry,She really does  she is always trying to bend my husbands ear to her way of thinking we should do things  with our house our kids etc and she never listens when he tells her thats enough
37112,angry,ugh I hate when that happens when I worked in retail my boss always called me
37113,angry,I actually liked retail but the customers and the schedule sucks lol
37114,angry,Oh yeah I have trauma of that too from retail days Some things never change
37232,annoyed,Aww  Why
37233,annoyed,Oh no Is she okay
37234,annoyed,He beaten up my little daughter 
37239,disgusted,Wow That is gross did you kill it
37240,disgusted,I hope you lit it on fire
37241,disgusted,Yes I had to lol
37268,annoyed,oh i know what you mean
37269,annoyed,thats very annoying
37270,annoyed,The flyers litter the neighborhood because people dont throw them away or they blow around to different homes
37271,annoyed,Yes I really wish they would stop doing that Too much litter
37278,annoyed,Right What is the purpose of going to movies if people talk there Uninformed people everywhere
37279,annoyed,You should confront them next time if it happens They should be put in their place for improper social behavior
37280,annoyed,Yes Maybe next time I should just stay home
37281,angry,Are you going to get it fixed
37282,angry,Will she give you any money for the repair
37283,angry,Well I have to It is going to cost me an additional 150 for the whole new screen replacement So frustrated for her being so clumsy
37311,angry,What did you do after they cut you off
37312,angry,Did you at least honk your horn
37313,angry,not much i could do but i hate those type of people
37314,annoyed,That sounds so annoying to deal with
37315,annoyed,Without a doubt most drivers are total morons
37316,annoyed,Yeah it was The quality of driving is going down and down
37352,annoyed,Did it hurt
37353,annoyed,Did you go to the doctor
37354,annoyed,yea it was very painful i hate when it happens
37510,annoyed,Did you call a tow truck LOL
37511,annoyed,Did you ice your toe
37512,annoyed,gotteeeeeeeeeeeem not but it was a pain to deal with
37516,angry,Oh that sucks  Why did heshe make you work
37517,angry,Yeah Ive worked for bosses like that in the past  At least you get overtime
37518,angry,Cause he is mean and doesnt care about anyone expect himself
37535,annoyed,Did anyone get hurt
37536,annoyed,Did you yell at the other person
37537,annoyed,no but i was so mad
37587,angry,Oh What made you so mad
37588,angry,Oh I hate that too Just let me buy what I need to buy and leave
37589,angry,Parents letting their very young kids push trolleys  it was a busy saturday and they were causing chaos
37590,angry,Exactly  its so inconsiderate
37597,disgusted,OMGhow gross What did you do
37598,disgusted,LOLI think thats when I would start crying
37599,disgusted,I tried to repend him but he continued eating it
37600,disgusted,At least it is clean now
37615,disgusted,That is kinda sad
37616,disgusted,Did you talked to her after
37617,disgusted,Yeah it sucks I just want a girl that is good but isnt shallow as hell too
37618,disgusted,Ew thats pretty gross since the floor is probably dirty as hell
37619,disgusted,Especially in public when people can see you do it
37620,disgusted,It is and it was pretty gross
37621,disgusted,I hope he is not sick though
37625,annoyed,OH yeah Its so painful Did you do that today
37626,annoyed,Things will get better from here on out
37627,annoyed,They call that Post traumatic Stress Disorder
37628,annoyed,I think you should
37629,annoyed,yeah  Ruined my whole day  Its like the rest of the day is off kilter because of it  
37630,annoyed,I hope so  It doesnt even hurt anymore and its still getting on my nerves LOL
37631,annoyed,Im sure it is lol  Maybe I just need to take a nap
37649,angry,Oh thats bad you should have really given them your piece of mind Driving skills of people going down
37650,angry,yeah thats good really
37651,angry,Luckily I was paying attention and didnt just go when the light changed If I had they would have hit me
37664,annoyed,Thats the worst especially when you see employees doing nothing
37665,annoyed,Well thankfully its over now
37666,annoyed,The longer I waited the more I didnt like it
37758,disgusted,Oh wow that sounds like something I wouldnt do
37759,disgusted,Why was he doing it
37760,disgusted,Other countries sure are weird
37761,disgusted,Yeah I know It was disgusting
37762,disgusted,It was a travel cookery show  he was in Korea and apparently its a delicacy there
37789,disgusted,Really Thats disgusting
37790,disgusted,Me neither I spoke to someone who had seen a show about a guy eating a live squid Yuck
37791,disgusted,Some of them
37792,disgusted,It is I would never do such a thing
37793,disgusted,People in other countries sure is weird
37797,angry,that sucks you should have been really annoyed with the delivery boy
37798,angry,Yeah you should refused to take the pizza and returned it
37799,angry,I am  It makes me so upset
37800,angry,You can only do your best in an unexpected situation
37801,angry,Its like Larry Gelwix says Whats Important Now  what is the best course of action right this second to improve performance Its inspiring
37802,angry,Exactly and thats what I did I had prepared my athletes to compete in any possible situation
37807,annoyed,What made him not speak well in your eyes
37808,annoyed,That seems like he needs to be let go then
37809,annoyed,He often confused the times and meaning of some verbs
37856,annoyed,Oh no Will you get it back OK
37857,annoyed,Its frustrating when that sort of thing happens
37858,annoyed,Yeah but I am so irritated with myself
37879,disgusted,That is a bad cat
37880,disgusted,Did you clean it up
37881,disgusted,yep i was sickened by it
37882,annoyed,homeless people can be good sometimes but sometimes its just annoying
37883,annoyed,thats fair
37884,annoyed,Yes it gets me so irritated
37885,angry,Arrgg  so annoying 
37886,angry,Did you shout at him
37887,angry,I know i was so annoyed
37892,disgusted,Really What was the address No  only joking 
37893,disgusted,Maybe
37894,disgusted,Yeah trust me you dont wanna go on there unless you are really morbidly curious
37976,disgusted,Oh no Was it OK
37977,disgusted,Its nasty Did you have to clean it up or did someone else
37978,disgusted,yea i was so disgusted tho
37997,annoyed,Were they being rude to you
37998,annoyed,Ugh She was probably doing it on purpose to annoy you
37999,annoyed,She was typing too slow and even misspelled my name twice in a row even though I spelled it slowly 
38000,annoyed,Yeah very rude
38004,annoyed,Is she sick or was it was one time thing
38005,annoyed,Was it a new rug
38006,annoyed,one time thing i was quite mad
38046,angry,You too One of mine died from food poisoning recently What are you going to do
38047,angry,You know what they say dont you You can always buy a new pig  just dont under any circumstances involve the cops
38048,angry,Nothing I use them to get rid of evidence  I am so upset about it
38067,disgusted,Yuck I suppose some people need to do that to survive though
38068,disgusted,Really Did you say anything to them
38069,disgusted,What did they say
38070,disgusted,But they had no need to do it they just thought it was still edible
38071,disgusted,Yes it happened at the food court I asked them not to do it
38072,disgusted,They said it was okay because they just put it in the trash so it didnt got dirty
38076,disgusted,Oh my that is so disgusting Why would you watch something like that
38077,disgusted,Oh I see I dont think I would be able to eat something like that
38078,disgusted,I normally like the show  its a travel thing so he eats cuisine in different countries
38079,disgusted,Me neither Yuck
38089,annoyed,What do you mean
38090,annoyed,Thats really strange of them haha
38091,annoyed,Where he can buy them what they eat how many would it take to dispose of a body I dont know anything about pigs Its annoying
38092,annoyed,Definitely You get some weird people online
38102,disgusted,That should be a crime
38103,disgusted,I would be too it must have tasted disgusting What a waste of nachos 
38104,disgusted,I was so grossed out
38135,angry,Thats annoying
38136,angry,I would be too so thats fair
38137,angry,yea i know i was quite mad
38153,disgusted,Man thats the worst
38154,disgusted,Feels so good man
38155,disgusted,yea i bopped him afterwards
38202,angry,Why does she get you angry
38203,angry,I hope things get better you two
38204,angry,Shes constantly jealous and I feel stifled 
38243,annoyed,yea i know that tilts me so hard
38244,annoyed,yea i bet he is
38245,annoyed,Hes quite the piece of garbage
38261,disgusted,Thats not too nice did you punish him
38262,disgusted,Hopefully this was just a one time thing
38263,disgusted,no hes a cat so its hard to punissh him but i was mad
38273,angry,Thats not acceptable even if he is drunk
38274,angry,I hope you get to set him straight somehow
38275,angry,I agree I am so angry with him He has been doing for years now 
38282,angry,Eww did you get angry with her
38283,angry,I hope you didnt abandon her
38284,angry,yea i was mad and disgusted
38285,disgusted,I hate cats that throw up
38286,disgusted,I am sure your shoes can be cleaned
38287,disgusted,yea sadly they all do once and a while
38307,annoyed,thats disgusting
38308,annoyed,i would be to
38309,annoyed,I am so irritated about it
38310,annoyed,Im sorry to hear that Have you tried to talk to a professional about that
38311,annoyed,Thats terrible I hope the situation sorts itself out
38312,annoyed,I will try but its my brother he took a car I saved so much to buy and had an accident with it 
38325,annoyed,LOOOLLL Im the same way I hate their lack of willpower
38326,annoyed,Yeah at what point would you not look yourself in the mirror and be disgusted
38327,annoyed,I think people find a way to lie to themself and convince themselves that it isnt that bad  body dismorphia
38328,annoyed,I just dont understand why they let themselves go
38329,annoyed,I think they like what they see
38337,disgusted,Yuck thats disgusting did you throw up
38338,disgusted,Was he insane or was it a part of hes culture 
38339,disgusted,Almost it was so gross
38352,disgusted,omg it must have been quite an experience for you
38353,disgusted,I hope he is alright now
38354,disgusted,I was disraut I couldnt believe my eyes
38367,angry,OH NO I would have been runnning up and down the halls yelling
38368,angry,Did you find out who did it and publicly spray ketchup all over them
38369,angry,Yes I was so livid about it
38397,annoyed,HAHA yes all the time and its even worse when they speak
38398,annoyed,Ugh yes like cant you tell from my body language I dont want to talk
38399,annoyed,Yes They work across the hall from me and everyday she tries to talk to me and I feel bad but I jsut shake my head at her
38464,angry,Oh my god how have you been bathing
38465,angry,oh my dont lift up your arms
38466,angry,Thats the thing I havent bathed in two days and its making me angry
38503,disgusted,Thats great I bet you love that
38504,disgusted,Haha well dogs do that I highly recommend not letting the puppy lick your face while its young
38505,disgusted,I did until I noticed that when I took him outside to go to the bathroom he was eating the neighbor dogs doo doo
38518,annoyed,Why are people so inconsiderate Are you ok
38519,annoyed,Yea its not enough that you drive safe sometimes
38520,annoyed,Yes I had to slam on my breaks but Im fine its quite annoying I dont know why people do it
38539,annoyed,That would be so annoying
38540,annoyed,I dont blame you for that I would do the same
38541,annoyed,I was not happy to say the least  Next time I will just take it to the car wash rather that waste my free time
38587,annoyed,That really stinks Maybe  you both can take some time off of work and be together
38588,annoyed,Well you should sit down with him and have a talk with him about it 
38589,annoyed,Well lately he has been taking his time getting home and its making me late
38596,angry,ooooh I would be too  I had someone dent my car too last week  I feel your pain
38597,angry,Nope  Try paintless dent repair Its not too pricey and quick fix
38598,angry,yea  people dont care about other peoples property anymore
38618,annoyed,Why What was going on
38619,annoyed,Thats disappointing 
38620,annoyed,too much work to have time off approved 
38671,annoyed,thats awesome how long did that take
38672,annoyed,yea i can understand that
38673,annoyed,Over an hour  but in this heat it makes it very exhausting
38674,annoyed,It was perfect timing I was almost done and it started raining
38700,disgusted,did you throw him out
38701,disgusted,did it work
38702,disgusted,I couldnt  didnt have the heart I tried to push his head out the window as best I could
38707,angry,That would be annoying If there is anybody over him you might try reporting it first
38708,angry,Lol  Maybe you could ask for another department
38709,angry,Ill try that first but its hard to report someone for just being really terrible in general
38731,annoyed,Car door
38732,annoyed,When did that happen
38733,annoyed,yea
38818,angry,That sounds really great and delicious 
38819,angry,Ohhhhhh yeah thats no good Still that happens to me all the time so I wouldnt worry too much about it 
38820,angry,Yeah it would have been if I hadnt burned it to a crisp and turned it into a black charred piece of leather
38824,disgusted,who did they leave and where
38825,disgusted,wow thats crazy
38826,disgusted,Sorry My friends wife left him in the middle the night It made me sick
38827,annoyed,Oh no I hate that
38828,annoyed,Maybe he comes back or you find him
38829,annoyed,yea he gone
38855,angry,it made him a ton of money so i think thats all that mattered to him at that point cause i agree it was crap
38856,angry,that was back then when he was trying to do something great the drive isnt there when you have already done it
38857,angry,I dont know I like to think he is better than that 
38864,annoyed,i get that i am in pain every morning and get up and go to work everyday so its hard to find sympathy from me
38865,annoyed,exactly it really drives me nuts when people feel like they entitled to this or that
38866,annoyed,My point exactly  Youre a hard worker despite your physical pains  I was born in a third world country and am now selfemployed with full financial autonomy my own car apartment and supportive friends and familyDONT TELL ME you cant fix your life You just dont want it bad enough
38917,angry,Do you know how it happened
38918,angry,That sucks I hate people who do stuff like that and dont take responsibility
38919,angry,nah it was while i was at walmart
38929,disgusted,That poor dog
38930,disgusted,That all sounds horrible
38931,disgusted,I know right I cant find out who had her but it was someone near me as she was running 2 weeks ago like a demon was after her and almost got hit No way she was loose for any amount of time but right that moment
38932,annoyed,Did they just not care
38933,annoyed,Sometimes they are tired at the end of their shift It happens
38934,annoyed,I think so that must be the case
38939,angry,Why is he missing and is he home
38940,angry,Oh god some dogs have to be watched a lot Watch the shelters and put up flyers everywhere online
38941,angry,he dug a hole and got out of the backyard and has not returned
38977,angry,Some drunks are funny and some are unfortunately annoying as hell
38978,angry,Oh man all your friends are the annoying drunks
38979,angry,Yeah I wish they were funny
39019,angry,Some people dont realize its just as easy as being comfortable being yourself to be accepted
39020,angry,Are you gonna have to see this person again
39021,angry,Exactly
39038,angry,I have heard that a lot today How did yours get out
39039,angry,Ah Have you put up flyers etc
39040,angry,he dug a hole
39072,disgusted,Do you mean the biology class was taken at a school
39073,disgusted,Wow That is pretty amazing Did you enjoy it
39074,disgusted,Yes we did it at home  She had to dissect several things and I could not watch it  She had to do it with my husband instead
39126,disgusted,so do you wait till you are back at home
39127,disgusted,yea thats understandable 
39128,disgusted,i try sometimes i cant help it and i have to and goodness it was awful
39129,disgusted,its like man if you are going to the bathroom please use spray
39166,angry,I hate that Work is never fun on the weekends
39167,angry,That sounds very painful
39168,angry,yea and it always seems to go by so slowly
39197,angry,No not if he is being loud and rude that is never okay
39198,angry,I guess he has no care for anyone but himself
39199,angry,They are very strange I dont understand that selfishness People work all different days and hours Of course he doesnt have the nerve to go yell at the people who set off fireworks all night after 10 
39200,annoyed,did he get a beat down
39201,annoyed,ah well in that case thats a good move
39202,annoyed,No hes my right hand man so I had to let it slide
39218,annoyed,Were the people involved ok
39219,annoyed,Always that bad egg everywhere Its people like that that causes accidents
39220,annoyed,I think so there were just a lot of cars involved  But this crazy person decided he was more important than anyone else and zoomed up the emergency lane blocking the ambulance that was trying to get to the wreck
39240,annoyed,sounds like my wife
39241,annoyed,i set the clocks ahead in the house and in the car  it doesnt work all the time but it helps 
39242,annoyed,hahaha how do you deal with it
39256,disgusted,Wow Did the roach make it
39257,disgusted,Dang You sure told him
39258,disgusted,He did but I killed him
39259,disgusted,Gotta defend your house ya know
39342,angry,Why was she so late thats terrible
39343,angry,Im so sorry I hope she makes it up for her
39344,angry,I have no idea I didnt get to do anything I planned today because I had her kids 
39345,angry,Well now I have to pack a bunch of stff into my sunday no relaxing
39385,angry,Why does she do that
39386,angry,That sounds bad I feel bad for you
39387,angry,She cannot take care of her kids yet has no problem going out shopping and spending every dime she makes on herself
39395,annoyed,what is 4 for
39396,annoyed,it was like monsoon weather here too its depressing and my garden is suffering
39397,annoyed,I am sorry I meant to say I was irritated by the weather this week I wish the sun would come out
39497,disgusted,How big was it
39498,disgusted,That
39499,disgusted,That must have been so scary did you kill him
39500,disgusted,Thats awful he might be in your house
39501,disgusted,More than an inch long
39502,disgusted,That
39503,disgusted,He scurried off before I had a chance 
39525,disgusted,Your cat must have got treats for that
39526,disgusted,Thats brutal my cat plays with her kills too
39527,disgusted,HA  Well Im the one that found her and she was just playing with it  There was blood everywhere it was so gross
39552,annoyed,Oh nice have you met them yet
39553,annoyed,Sounds scary I hope they arent involved in drugs or crime
39554,annoyed,No We share a stairwell and there have been so many people going up and down at night I dont want to meet them
39555,annoyed,I hope not I am leaving when my lease is up
39591,disgusted,Oh no  Did he get a tummy ache
39592,disgusted,That is just disrespectful  He should have stayed on his own stairs if he was going to make a mess like that
39593,disgusted,I dont know All I know is he didnt even try to pick them p
39594,disgusted,I know right
39652,angry,who cut you
39653,angry,That sucks What was the reason
39654,angry,My hockey team I worked so hard
39655,angry,They said I wasnt strong enough
39728,annoyed,huh
39729,annoyed,Me too I have one more day
39730,annoyed,I think you will make it
39731,annoyed,I know the feeling
39732,annoyed,Sorry about that my kids are fighting over the computer and hit some buttons lol theyre driving me crazy Im so ready for school to start back
39733,annoyed,I still have another week they ask for snack every 5 minutes and theyre eating me out of house and home
39734,annoyed,I hope so I love them more than life itself but Mama needs a break and the chirren need school
39746,annoyed,is it gonna feel better  when they finally start going back to school 
39747,annoyed,my little sister is the same way these new kids my dad would make me go landscaping with him for my back to school clothes
39748,annoyed,Well I hope so  but I just wish they would clean up a bit when they are home
39752,angry,well congrats hopefully it  was a good raise for everybody
39753,angry,thats so sad and why was that
39754,angry,Well I only received half of the maximum m not too happy
39755,angry,i dont know I work hard and never call out
39771,disgusted,Thats brutal was it a big poop
39772,disgusted,That is gross did you get a bath or a shower
39773,disgusted,Ugh yes and it went all up between my toes and everything So gross I tried to wipe it off in the grass but it just made it worse
39774,disgusted,I got the hose from around the corner and sprayed it off then I hopped all the way to the bathroom to take a shower
39833,disgusted,Cool was it any good What kind
39834,disgusted,Thats scary if someone younge ate that and didnt know
39835,disgusted,I was wings They were still pink near the bone Never again
39836,disgusted,Gordon Ramsey taught me better
39930,angry,Oh no Was it damaged
