,emotion,labels_clean
34197,lonely,Sometimes Sometimes I like the tranquility of solitude
34261,lonely,That sucks Im sure it hurt your feelings
34262,lonely,Oh wow I cant believe your friend did that to you 
34263,lonely,Im sure it can be Maybe talk to him about it
34264,lonely,Yeah I was very frustrated Especially since my friend was my ride home So I ended up having to call a cab
34265,lonely,I know My friend sometimes gets very self centered It can be a challenge
34293,lonely,That must be lonely Do you try to make friends
34294,lonely,I am sorry to hear that Luckily you can always call them
34295,lonely,Of course  But my best friend just moved to New Zealand
34312,lonely,Im very sorry to hear that Im hear for you if you need someone
34313,lonely,I can understand the feeling But being single is great that you dont have to constantly worry about someone else
34314,lonely,Thanks Its just that I have been single for ten years and I am starting to feel very lonely
34334,lonely,How come
34335,lonely,I see I feel like that sometimes too when my kids leave for college 
34336,lonely,cause the kids left
34466,lonely,Get yourself some good food and watch a movie Sometimes its good to take some time for yourself
34467,lonely,I get you Ive been in your situation before
34468,lonely,Yeah but Ive been alone so much lately I really need a change of pace
34488,lonely,That really sucks You can always look into new housing options
34489,lonely,Well do you have enough room to bring in a roomate
34490,lonely,I like the place I live I just wish I wasnt all alone
34491,sad,Oh no and you cant go with her
34492,sad,Oh ok well shell be back before you know it
34493,sad,Well I dont really get along with her family so itd be a bad idea for me to go
34500,lonely,Oh no thats annoying indeed
34501,lonely,Im sure they wanted to be there though Hopefully they are thinking of you
34502,lonely,Yes it really was
34524,sad,am sorry about that you could have reminded them perharps
34525,sad,yah next time remind them earlier so you dont feel disturbed
34526,sad,I guess that was an option I just figured theyd remember at some point
34536,lonely,oh no are you planning to get another one 
34537,lonely,what kind of breed was it
34538,lonely,Im not sure She was very old I had her so long 
34573,lonely,I can understand that Its usually either parents are happy they are out of the house or sad that theyre gone Im sorry you feel lonely 
34574,lonely,I can understand that Kids have a big presence and their energy creates a void Hopefully you can find things to take your mind off of it 
34575,lonely,Yes it is My youngest has been away all this week for his first summer camp Its been both awesome and lonely 
34576,lonely,Most of the time Im happy and content but occasionally I get lonely
34577,lonely,Its weird how they can drive you crazy when they are with you but you miss them the minute they are gone
34578,lonely,They finally go back to school next week and Im looking forward to it but I know Ill get lonely at times
34589,sad,Oh no When I misplace things I try to retrace my steps Have you tried that
34590,sad,Uh ohI have a cat who likes to steal things too lol Try checking underneath the furniture
34591,sad,I did but it seems to have vanished completely Its quite strangeand I do wonder if my cat had something to do with it
34624,lonely,Oh no Thats a tough change but I suppose youll have to try to join clubs and make new ones
34625,lonely,Its harder as an adult but you can make some by joining some adult clubs that focus on sports or recreation Or if you have a neighborhood club joining that
34626,lonely,Yes but I dont know where to find new friends
34743,sad,Im sorry to hear that Have you had your cat a long time
34744,sad,I bet it has They become a part of the family and it can be hard to let go
34745,sad,Yea I got her when she was a kitten 12 years ago It has been a rough week for me
34756,sad,I am so sorry about that How are you holding up
34757,sad,I bet thats rough I would be the same way if my dog died
34758,sad,Im just really sad Hes been with me since I was young I miss him already
34762,sad,maybe she is getting older mines a little grumpy as well but i accept it
34763,sad,thats not too bad maybe she needs more attention from you 
34764,sad,Shes in her late 40s
34781,sad,where are you vacationing
34782,sad,OMG my dream vacation
34783,sad,I am in Bali I would like to stay here forever I will shed some tears for sure
34790,sad,Are you kicking them out for a valid reason
34791,sad,Just make it short and sweet
34792,sad,YEP They are abusive and need lots of help I am not offering anymoreThey have to want it for themselves I know its been necessary for them to get better but it doesnt make it any easier
34916,lonely,We get really busy in the Fall with a lot of extracurricular stuff
34917,lonely,I see well hang in there In about 5 minutes theyll be older
34918,lonely,My kids are too little for lots of extra cirriculars I get lonely while they are in school
34919,lonely,Youre so right my oldest grew up when I blinked lol
34930,sad,now is the time the real growing up starts
34931,sad,oh boy
34932,sad,I just want time to slow down I will miss them so much when they are all grown up
35031,lonely,you dont have friends at work
35032,lonely,no partner at home either work stuff can be really dtressful
35033,lonely,I am not really close to them and I would not make a move to be emotional with them
35107,sad,I lost a cat before Its a lot to deal with
35108,sad,It get better with time 
35109,sad,yea it really is very saddening
35120,lonely,you dont like this dog
35121,lonely,Oh yes i completely understand that Just get some snacks and watch a lot of movies 
35122,lonely,I just dont like being a lone out in the country I love the dog though
35126,sad,Awww whats wrong Maybe going to the lake will cheer you up
35127,sad,That is a bummer Well you can go next time
35128,sad,Yeah I wish I could but I have to house watch my parents house this weekend Bummer
35150,sad,Are you happy or sad about moving
35151,sad,Well I hope you have a good experience in your new city and raise an amazing family
35152,sad,both I will miss the nightlife but I have to raise a family
35153,sad,me too good luck with school
35163,sad,oh my god so sad how did that happen Feel so sorry for you
35164,sad,sorry for your loss
35165,sad,He crashed on a bicycle 
35182,lonely,Im jealous of you Ive had a roommate the past few years since Im in college First one I had battle depression and mental illness and even checked himself into a behavioral center because he was feeling suicidal This recent roommate seems normal enough though
35183,lonely,Im glad to hear it At least you know youre good at being social in some ways Maybe you can make friends outside of roommates and then be able to be social outside of your apartment and be able to come home and have the peace and quiet
35184,lonely,But we got along really well He had to move away Now I have no one to hang out with while I am at home
35215,sad,Aw are they not anymore
35216,sad,LOL I hear that 
35217,sad,They are bundles of never ending energy now lol
35271,sad,Wow Thats unfortunate Sorry to hear were you close
35272,sad,I hope you are finding ways to cope with your loss That cant be easy to deal with 
35273,sad,I hope that helps you and that you find peace 
35274,sad,We were its so tragic Cancer spares no one
35275,sad,It really is difficult Ive started therapy recently
35276,sad,I hope so too its a difficult time for sure
35288,sad,Yea that is really far Give it some time and I am sure you will meet some new people
35289,sad,It takes time to adapt to a new city Get involved in some groups to meet like minded people
35290,sad,Thanks for that Ive been feeling pretty blue so I appreciate it
35306,sad,Oh no  How old was he
35307,sad,What type of dog was he
35308,sad,I had him for 12 years 
35315,sad,That is just the worst who made fun of you
35316,sad,Thats so disappointing People should really not be judging others when they dont know how much effort was put in to the outfit
35317,sad,Hi are you still here
35318,sad,It did what were we talking about again
35319,sad,It was actually a stranger and I was on public transportation They didnt actually say anything to me I could just tell the way they were giving me a look and kind of shaking their head and then laughing to themselves that it was pointed at me Maybe I read too much into it Either way made me want to sink into the ground
35320,sad,I think it was my haircut  But thank you for the kind words I need you to hype me up in the morning and make me feel confident
35321,sad,Yes it seemed to bug out not sure
35322,sad,I can understand that I lost my dog a few years ago Whats worse is I wasnt around when it happenedI was out of the state I hope you at least got to say goodbye
35323,sad,Man Im so sorry I remember when I was really young I was in the car with my mom and she hit our neighbors cat driving home They just ran right out into the street She drove home and cried for a while
35324,sad,Who knows They could have been like my mom and maybe they were different and were too ashamed to say anything Might not have noticed either Or they were just bad people Hopefully you can focus on your pet and how much you loved them instead of those things you cant get answers to
35325,sad,It was the worst I didnt get to say goodbye she got hit by a car
35326,sad,It was so difficult I dont even know if the person cares that they took away my favorite pet
35353,sad,OH no Did you study
35354,sad,LOL English is a tough subject
35355,sad,A little I mean it was an English test I know English LOL
35439,lonely,Ah so are you feeling pretty lonely Thats interesting that he took the dog with him on a business trip but who am I to judge Could be viewed as kind of cool that hes that close with the dog
35440,lonely,Yeah he should have left the dog with you so not only would you have some company but some protection too But I dont know all of the situation so I guess I shouldnt say for sure Hopefully its not for too long so you guys can get back to being a trio
35441,lonely,Yeah were both kind of crazy about the dog lol and I hate being alone in the house
35487,sad,Oh thats terrible If you dont mind me asking
35488,sad,Maybe he is trying to do what he thinks is best Im sure its out of love not just being mean
35489,sad,My stepdad wont let me play baseball anymore simply because I hurt my arm throwing
35490,sad,I think so too maybe I could play some hockey instead
35550,sad,What Are you sick or your family member
35551,sad,Oh no Im so sorry to hear that it must have been hard on you
35552,sad,It was my father who was sick He passed not too long ago
35565,lonely,Aw was she stressed out
35566,lonely,Aw thats no fun I bet the constant construction didnt help at all
35567,lonely,Just a little since she was around other cats for the first time I think I was more of a wreck than she was though  The house seemed so empty without her
35568,lonely,I slept through it all when I could or went to visit my little brat
35569,sad,Oh wow  My dog passed away recently too so I can relate to your pain  I am so sorry for your loss
35570,sad,Most definetly she was my constant companion  It will hopefully get easier for us each day
35571,sad,Thanks and to you too They really are our best friends 
35572,sad,Agreed I will probably consider a rescue dog my second dog is lonely now 
35621,sad,Thats no good how did you break it
35622,sad,no good are you going to get another one
35623,sad,Id buy it off you after its fixed I love tag heuer
35624,sad,I wouldnt maybe I could get some recommendations for a nice one
35625,sad,it broke on its own accord no clue
35626,sad,Its a tag heuer  Im gonna get it fixed
35627,sad,It was my grandfathers watch I dont think you have enough money to cover its sentimental value
35667,lonely,Well that was absolutely terrible He certainly picked the worse time to do it Youre right he was a jerk
35668,lonely,Oh well Im sorry that is definitely an unpleasant Valentines day But on the positive side at least you found out what a jerk he was before you became more committed 
35669,lonely,I know right So instead of going out to the fancy restaurant Id booked for us I spent the night on the couch watching Friends reruns Alone
35689,sad,Oh that must be hard  Are you guys really close
35690,sad,Man I know how that feels  When I go to visit my sister and nieces I have such a hard time when its time to fly home
35691,sad,We are and its painful to see her go because I know I wont see her again until next year
35712,lonely,That sucks Did she say why
35713,lonely,Wow thats harsh
35714,lonely,Find a new girlfriend  That ship has sailed   If youre really still want her consider trying to play the jealousy card  ie
35715,lonely,You dont even have to do that Keep it classy Just show up with a pretty girl and have a good time and be a perfect gentleman  Dont even bat an eye at her
35716,lonely,She wanted to try something new she was bored of me
35717,lonely,It is I dont know what to do anymore any ideas
35718,lonely,Im gonna do that thank you for the advice I could try to kiss someone else to make her mad
35741,lonely,Im sorry to hear that  How are you going
35742,lonely,Thats true  Just remember that as much as it might sting now there are plenty of people out there and you want to find one that makes you happy all of the time not just some of the time
35743,lonely,Doing ok i guess  Probably better its over now rather than later
35744,sad,Man that is really hard  I can relate however bc my sweet Rileydog just had to be put to sleep due to congestive heart failure
35745,sad,It doesnt  Try hard to stay positive and remember he isnt suffering anymore
35746,sad,Yeah I understand it was his time to go but it doesnt make it any easier
35801,sad,Sorry to hear that
35802,sad,What happened
35803,sad,Thanks she is in a better place though 
35809,sad,That sounds really nice  Did you have fun
35810,sad,Ugh thats terrible  I hope you found the money
35811,sad,It was nice until everyone left and Some money was missing from my bedroom
35812,sad,I didnt and I only had friends over Thats the really bad part
35897,lonely,Are you happy now
35898,lonely,Well thats good IT will come it you work for it
35899,lonely,I think so I owuld like a better job but that is it
35910,lonely,Why
35911,lonely,You feel liked now
35912,lonely,I was just not a liked person I guess I was very shy
35951,lonely,I am sorry Maybe not focus as fridaysunday as the weekend but as any other day And do things you would normally do on other days
35952,lonely,That is a tough one What do you normally do other then work on those days
35953,lonely,Is there anything else you do besides work A hobby you enjoy video games music working out
35954,lonely,Healing is never easy It always has the negatives Any sort of healing always starts with pain a open wound and itchy scabs and the left over scar I wish I could talk to you daily and help you get through it I know its hard to go and do things alone I recently discovered a text number that allows you to talk to someone when you are feeling down it is 741741 I have used it just recently myself It does work and is better then nothing 
35955,lonely,That is hard as there is not the typical work which keeps me busy on the weekdays
35956,lonely,Look for work work on business and try not to let it get to me
35957,lonely,I workout daily I try to keep busy but the loneliness eats at me right now I just had to kick my partner out to go get helpI miss himbut I dont miss the bad partsbut its still hard to be alone and do everything alone you know I am not at a music place yet I am healing as well Healing is NOT easy
36026,lonely,Not at all It is kind of boring being left to clean everything alone
36027,lonely,And you might get called a weirdo Haha
36028,lonely,It is Its sort of like how if someone packs you a little note with your lunch its really nice but obviously if you made your own note youd just feel silly
36058,lonely,That is sad Do you have other children
36059,lonely,I understand Anyway he will keep visiting
36060,lonely,No just one Always wanted to have more but it just wasnt meant to be
36061,lonely,I sure hope so At least the colleges is only 3 hours away 
36153,sad,Thats sad What country is that
36154,sad,Wow that is far When did you come here
36155,sad,What is it like over there
36156,sad,Yeah I can imagine it would be simpler there
36157,sad,Bulgaria Its so far away
36158,sad,its been almost 20 years and Ive only been back to Bulgaria once
36159,sad,People are nice and caring nature is beautiful and life kinda slows down its not as crazy hectic  as here
36160,sad,Awww I completely understand I remember that feeling And mine is now a senior Time flies Cherish every moment with him
36161,sad,I only have one And next year hell be going off to college I wish I didnt have to work so much so I could have spent more time with him when he wanted to
36162,sad,Yea that would have been great if I could have done it Im happy that you do
36163,sad,Its still better that an empty house
36164,sad,I know it does My oldest son is starting Junior Highwow
36165,sad,Yeah Im grateful that I get to work from home and be with my kids
36166,sad,The summer has been rough though They fight a lot
36167,lonely,That sounds so sad  I hope he was ok
36168,lonely,You have to be careful though  Sometimes people can be really dangerous when they have nothing to lose
36169,lonely,I dont really know He just seemed so discheviled and alone
36234,lonely,Thats good where was it
36235,lonely,What would you do with friends 
36236,lonely,It was in the couch but really it just made me realize I need to hang out wih some friends
36264,lonely,Sounds relaxing being a mom I could use a day like that 
36265,lonely,I hope it was a good day for you atleast you did something productive and got some laundry done haha
36266,lonely,lol  I dont have any kids to keep me busy  I just sat there playing video games and doing laundry
36267,lonely,Yeah it was kind of relaxing and boring at the same time D
36347,lonely,Whered everyone go
36348,lonely,hahaha did you kick family or roomies out
36349,lonely,i kicked them out
36387,sad,Did she pass away or did something else happen
36388,sad,Thats sad one of my friends dog died a few years ago We were all very sad because he was such a nice pit
36389,sad,She passed away unfortunately
36417,sad,I am sorry to hear that I hope she is comfortable at least
36418,sad,Do you have plans on how to spend these last days with her
36419,sad,She is not going to make it much longer
36608,sad,Oh Im so sorry Is the little one being treated
36609,sad,I am so sorry to hear that Im sure she had the bests life she could being part of your family
36610,sad,We tried  We took her to an emergency vet then our vet followed up with us for weeks  She kinda overcame the pancreatitis but she also had an autoimmune disease and her body started killing off her red blood cells  She wasnt going to recover and she was in so much pain we had to take her in to be put to sleep
36648,sad,I cant imagine How old is he
36649,sad,Yeah thats a hard age to separate from a child They dont really understand I have to leave my 16 year old sometimes and he jumps for joy
36650,sad,Almost 2
36660,lonely,ah that sucks what city
36661,lonely,dang in the middle of no where
36662,lonely,Somewhere in Nevada
36706,sad,Oh no I am sorry to hear that
36707,sad,I hope you can find some comfort during this time
36708,sad,Yeah I was crying a bit We spent so much time together I would take him everywhere
36861,lonely,You must have felt very lonely
36862,lonely,At least you were productive
36863,lonely,It was kinda boring  I did do laundry all day though
36864,lonely,lol yeah  I did play some Tomb Raider too though
36874,lonely,Its not good to be stuck alone Im sure you can make friends with someone there
36875,lonely,Take it from me youve got to work on getting over that shyness before its too ingrained in you Im still pretty introverted but I enjoy meeting new people now and it helps with my emotional state a ton
36876,lonely,Yeah Ive just been so busy studying that I havent had the chance yet
37026,lonely,How interesting
37027,lonely,Dont worry though He will be home soon
37028,lonely,I had to eat dinner alone today Husband is on his way back from a work trip
37038,lonely,Im sorry to hear that Thats a pretty common response to break ups A lot of people go through it so youre not alone I hope you pull through soon
37039,lonely,Thats great to hear Im sure youll find someone better soon
37040,lonely,thank you for your honest response  and i did get over it  just took a few months 
37100,lonely,That is so sad I am sorry Losing a pet is so hard They are family
37101,lonely,I know the feeling The thought of replacing them seems impossible Only time will tell if you are ever ready for another
37102,lonely,Thats spot on she felt like a family member Im not sure if Ill ever be able to have another pet
37189,sad,Yeah i feel some are just picky on what job they want to have
37190,sad,I agree with you
37191,sad,just get a job  does it even matter grow up and contribute 
37192,lonely,i have to stay late at work all the time  im sorry to hear that 
37193,lonely,yes it does lol
37194,lonely,Oh no that sucks
37212,sad,Oh wow That is great Did she have a good day
37213,sad,I dont blame you Its so sad to know that you have to leave them there 
37214,sad,She did and I know we arent supposed to cry when they walk down that hall toward the classroom all by themselves but I could not help it
37228,lonely,I am sorry maybe you can hang out with some friends
37229,lonely,I hope you feel better
37230,lonely,Yeah I might need to reach out to some friends It will be strange to entertain just myself
37231,lonely,Thanks I look forward to her coming back soon
37284,sad,Oh Im sorry to hear that Its very hard to lose a loved one I know from personal experience
37285,sad,Yes even though death is part of life its very hard I hope things are better for you
37286,sad,yea it was very disheartening to hear
37317,sad,ah that bad You need again to wait for ages
37318,sad,When you see them again it will be worth a wait
37319,sad,Yeah exactly its gonna suck not seeing all my friends too
37323,lonely,Did you make friends eventually
37324,lonely,How did you get through it
37325,lonely,yea but it was a lonesome time
37340,lonely,Oh wow why
37341,lonely,Damn hopefully youre doing better now
37342,lonely,I was very sick with a mono
37370,sad,ah so sad for you where did heshe moved
37371,sad,oh yeah nice pace though but you will miss him a lot i guess
37372,sad,He moved all the way to Paris
37383,sad,I somewhat disagree Its been so hot Ill be happy to see the end of summer
37384,sad,That is a pretty good tradeoff
37385,sad,I love the fact I do not have to work in the summer
37439,lonely,You should go out and meet new people
37440,lonely,Do you have friends now
37441,lonely,i did but it was a lonesome first semester
37458,sad,You can at least phone them
37459,sad,You can go visit
37460,sad,Well of course we can But spending time and doing stuff together is much better
37470,sad,That is horrible news so sorry
37471,sad,How did he die
37472,sad,yea it was horrible
37504,lonely,Why was that
37505,lonely,Is that a good thing or a bad thing
37506,lonely,My mom got another job and my brother left for college so the house was so empty
37507,sad,oof was it the cost
37508,sad,yikes thats quite a sum of money
37509,sad,Yes I was short by 100000 dollars
37558,sad,I could imagine Were you two very close
37559,sad,Its good to have that close bond with your siblings though
37560,sad,Yeah very so thats what made it so lonely
37580,sad,Your high school yearbook
37581,sad,How old are you
37582,sad,Yeah  I looked through it and a lot of people in my class have passed away since then 
37583,sad,Late 30s  And a lot of those people have moved far away  We used to have some good times
37639,lonely,Every single one Thats messed up
37640,lonely,I wouldnt wish that on my worst enemy
37641,lonely,Yes I felt very sad and lonely not a good way to spend the evening
37642,lonely,I wish you wouldve came
37700,sad,Thats terrible Some people are scumbags
37701,sad,Did you contact the police
37702,sad,Yes and my dog was very hurt
37703,sad,Yes but they couldnt identify the person
37731,lonely,What kind of dead bodies
37732,lonely,I understand your feelings
37733,lonely,Human ones I feel quite lonely now But they had to die
37734,lonely,Im so pleased  lots of people dont Were probably quite alike
37735,sad,Why is that
37736,sad,If they dont want to have anything to do with you because you are poor then they are pretty shallow and dispicable Ive still got the pigs if you want to get rid of them
37737,sad,I am poor  I am so hurt about it
37873,lonely,I guess no Have you
37874,lonely,Awful It doesnt happen to anyone 
37875,lonely,Yes when I found out my husband was cheating on me
37898,sad,That is the worst thing ever
37899,sad,I hope things get better
37900,sad,It made me feel horrible I was sad about it
37901,sad,Oh man thats a bummer how did that happened
37902,sad,Was she honest about it or did you find out the hard way
37903,sad,She found someone new  I am so hurt right now
37918,sad,Why do you think about it then
37919,sad,That seems weird to me
37920,sad,It just kinda happens occasionally
37935,lonely,Its pity But why are you alone
37936,lonely,that was so mean
37937,lonely,I fed my family to the pigs Then the pigs died from food poisoning
37938,lonely,They deserved it They all had to die
37939,sad,wow that sucks
37940,sad,i can imagine my condolences 
37941,sad,I am so devastated 
37951,sad,I understand you will miss home but also excited for college
37952,sad,I agree but you will get to see them again when you come back
37953,sad,Its also because I have to leave all my friends
38010,lonely,Why are you so lonely
38011,lonely,Oh you and your silly pigs
38012,lonely,I fed my family to the pigs Then the pigs got food poisoning and died too
38013,lonely,Why do you say that They were lovely My only true friends
38020,lonely,Why you say that
38021,lonely,That is such a shame to hear you could try having an imaginary friend
38022,lonely,He sounds like a bad influence
38023,lonely,Good dont get rid of the only friend you have
38024,lonely,Well since I fed my family to the pigs Im all alone
38025,lonely,I do He was the one that told me to kill my family
38026,lonely,Thats what the shrink said They gave me pills to get rid of him But I didnt take them
38031,sad,well the odds are quite bad but that still sucks
38032,sad,yea i can imagine
38033,sad,I agree but I thought it was worth a shot i am so sad I lost all that money
38096,lonely,wow thats quite rude of them
38097,lonely,i can imagine
38098,lonely,I agree i felt so lonely because of their actions 
38099,lonely,Aw did you feel lonely I was like that too but I found friends in my second year
38100,lonely,Dont worry hit the gym and join student clubs
38101,lonely,yep it sucked quite a bit
38111,sad,Oh Im sorry to hear that Did you know him well
38112,sad,Yeah  it can be upsetting
38113,sad,kind of it was quite sad
38162,lonely,Why dont they eat lunch with you
38163,lonely,Im sorry to hear that
38164,lonely,Because I think they find me boring I feel so lonely and unmotivated to work hard because of that
38196,sad,So sorry to hear that You must feel sad
38197,sad,Time will heal Remember you dog for all the good memories 
38198,sad,I am hurting so bad right now
38215,sad,Wow it has served you well
38216,sad,Yes you do that buddy
38217,sad,I agree but I am so sad now that I will have to salvage it
38264,lonely,I hate eating dinner by myself  What happened that you ended up eating dinner alone
38265,lonely,I dont like being alone much either  What would cause you to have bad thought  Were you scared
38266,lonely,I thought many bad thoughts  I hate being by myself
38288,sad,wow that sucks
38289,sad,yea hopefully you find it
38290,sad,I am so hurt over it
38330,sad,So sorry that must be devastating for you 
38331,sad,How long does he have left
38332,sad,Yeah its tough to kind of see him on his last leg
38358,sad,Oh thats sad are you going somewhere
38359,sad,Oh yeah I remember that  Pretty tough
38360,sad,It was the last day of school It was such a bittersweet moment
38488,lonely,Go back to sleep
38489,lonely,I agree just a read a boring book and you will be snoozing in no time
38490,lonely,I tried but cant Im going to give it another shot though
38491,lonely,I am sorry to hear that  Have you tried looking up organizations in your new area to meet people with similar interests
38492,lonely,How about church a fundraising activity or volunteer opportunity to meet new people
38493,lonely,I have but Im too scared to get involved because I have so much going on Id hate to flake out on people
38578,lonely,Oh thats cool  Sounds like hes living the dream lol
38579,lonely,Do you have any kids of your ownor is he your main  only furbaby
38580,lonely,Yep Hes having a pretty good time
38590,lonely,Thats terrible news I hope they are in good hands Are you okay
38591,lonely,I am glad But I hope you are doing okay Get out and meet some cool people Easier said than done I know
38592,lonely,yea they are with grandma  they are good
38599,sad,Sorry to hear that Are you taking him to the vet
38600,sad,I understand That is life
38601,sad,I havent in a while but I definitely should I dont think theres much they can do though
38797,lonely,Aww I hate to hear that How long have you two been together
38798,lonely,Well hopefully when its all said and done itll be be worth it Best of luck with it
38799,lonely,3 years but I also know I have a lot of ptsd from him and it will be a long road before I am ready to be around him again But you knowat the same time its hard
38800,lonely,I hope so too Thank you
38874,sad,I am so sorry to hear that Who is taking care of your neighbor
38875,sad,Thats really sad Not being able to even know whats going on anymore
38876,sad,Her family sort of but not really
38877,sad,Yep and shes starting to try to wander off
38888,sad,Thats true Whats going on
38889,sad,Some people are only out for themselves unfortunately
38890,sad,Just dealing with difficult people They are everywhere Even in your own home sometimes  I just dont understand why people cant just be kind and good and instead want to hurt and destroy
38891,sad,A lot are narcissists nowadays too its shocking how many people are
38908,sad,That must be frustrating What are you going to do now
38909,sad,Im so sorry that happened What brand is the HD
38910,sad,I cant do anything to retrieve the data I had personal pictures and videos on it I am sad of losing them
38959,sad,What happened Was he honest with you
38960,sad,Ugh Did he offer an explanation yet
38961,sad,I did not hear from him at all
39090,sad,uh oh did something happen
39091,sad,What usually happens this tiem of year
39092,sad,Oh no I hit the wrong button Sorry I miss my dad this time of year It makes me think of him
39093,sad,Just being outside in the summer
39123,lonely,Thats unfortunate made a new one since
39124,lonely,Thats terrible I hope you find someone soon
39125,lonely,Nope I havent felt anything for anyone since
39133,lonely,Being alone is good sometimes
39134,lonely,Yep You should definitely do the things you wouldnt normally do with people around
39135,lonely,Yeah I didnt think about that Could see some benefit there
39142,lonely,That sucks Have you tried contacting your family
39143,lonely,Well youre talking to me so thats something
39144,lonely,I did not I was pretty lazy
39145,sad,I dont blame you Work is a drag
39146,sad,hate it
39147,sad,yea you got that right
39148,sad,im sorry  to hear that
39149,sad,yea this is true
39150,sad,I have memories so thats better than nothing
39151,sad,That never sounds fun
39152,sad,I am sorry you had to work then
39153,sad,yea it isnt 
39154,lonely,Aww Im sorry i hope you atleast got some good relaxing time alone
39155,lonely,Thats great Enjoy the weekend and have a good week
39156,lonely,I did get to relax a lot
39215,lonely,Why did you have to cancel
39216,lonely,I can understand that  unfortunately some times we have to do those annoying things in order to keep things level
39217,lonely,I had to work If I said no to work Id just be putting a bullseye on my back
39327,sad,Im so sorry its hard to lose our animals they become a part of our family
39328,sad,The pain never really goes completely away but it does get easier to deal with
39329,sad,you are right I was very very sorrowful and nostalgic that day And even now
39362,sad,Is that a movie
39363,sad,Oh wow that certainly sounds like a sad movie for sure
39364,sad,Yeah about a kid who get kidnapped and they end up killing him The actor is dead now too I get sad watching this movie
39365,sad,It is sort of a suspense but it makes me sad lol
39372,sad,I bet Hopefully you can take some time off and go see them soon
39373,sad,I understand Im sure your family misses you as well Maybe you can meet half way for the holidays
39374,sad,its really hard to do that in a one income household 
39375,sad,they wont even bother there are too many of them and always say its cheaper for you guys to just come down
39432,lonely,how sweet what did they do on their special day
39433,lonely,i get that i wish we had children so my husband could do that
39434,lonely,They went to Six Flags  I had no idea how quiet it would be around the house with them gone  Im not so sure I liked it though
39442,sad,oh thats bad I feel sorry for you
39443,sad,But dont feel dejected Your time will come I pray for your bright future
39444,sad,So do I I saw a person who was having an interview right after me working there yesterday
39511,lonely,Did you enjoy it there
39512,lonely,That is hard when you are young  My family moved around a lot until I was 13
39513,lonely,No I felt isolated Away from my friends
39618,sad,How old are they now
39619,sad,Why do you want them to be babies again  That sounds like a lot of waking up in the middle of the night
39620,sad,That will pass Just give it a little time 
39621,sad,four and five thats not that old but still lol
39622,sad,Now they just question everything and never sit still though ITs worse lol
39648,lonely,Did you try online dating
39649,lonely,Its difficult but it can be nice to connect
39650,lonely,I think I will but its a bit overwhelming
39651,lonely,I might try it
39692,lonely,That sucks Did she get a better job
39693,lonely,Oh that sucks
39694,lonely,No her contract expired so she had to be let go
39695,lonely,It does  Its way too quiet at work now 
39724,sad,Are you married too
39725,sad,Well youre the smart one make sure you wait for the right person before you get married
39726,sad,Nope I am the only single one
39727,sad,Maybe I am the smart one
39735,lonely,Im sorry to hear that How long were you together
39736,lonely,Well hang in there I know it sucks but eventually the right person will come along
39737,lonely,2 years We worked on it
39738,lonely,You must be lonely because of that
39739,lonely,Where did he fly off too
39740,lonely,That is random where does he work
39741,lonely,Yeah a little hell be back tomorrow morning finally
39742,lonely,Utah random state 
39790,sad,Is she going to start a college Why is she moving
39791,sad,I am a bit confused Was it a transfer from work or what
39792,sad,She got transferred We have always lived close to each other
39793,sad,Yeah She works at a dialysis clinic
39847,lonely,Oh Im sorry to hear that is that far from where you live now
39848,lonely,Yeah that really sucks At least its easier to keep up with people online these days
39849,lonely,It is I live in Maine Im really gonna miss her
39850,sad,Doesnt surprise me they do that to me every single time I go Im picky though so my order is always complicated
39851,sad,I hate onions too even if I pick them off I can still taste them on the burger So gross
39852,sad,Yeah they always mess mine up too I was really looking forward to it but onions make me feel sick ruined my meal 
39856,lonely,Hmm how do you feel about that 
39857,lonely,Lol Well Im sure thats not the case Its cliche for sure but the right person really comes along when youre not expecting it a lot of the time
39858,lonely,I feel like maybe my soulmate got hit by a truck lol
39862,lonely,Did they move permanently
39863,lonely,Oh no Im sorry to hear that At least now you have a reason to travel
39864,lonely,Yeah we bread and buttered together from childhood I think i am going to miss him a lot I already fee like losing my soul and being alone
39903,lonely,Oh no Two weeks is a bit long Works sucks sometimes huh
39904,lonely,Make sure to keep in touch
39905,lonely,Absolutely  With three children the house is always bustling  Its so quiet right now  
39906,sad,Weather can really be fickle  Did you have a backup plan
39907,sad,Thats not a bad way to spend your day  That can be just as fun if you get the right kind of movies  
39908,sad,Not really Just grabbed some pizza and spent some time in watching movies
39921,lonely,Are you happy or sad about it I mean on one hand you have all that time to yourself but at the same time Im sure you miss them
39922,lonely,I know what you mean I feel that way every time my kids go to their grandparents house too
39923,lonely,It has been too long and I miss them too much now It is way too quiet around here
39951,sad,Oh no I hope shes okay Was she pretty bad
39952,sad,Maybe she will Vets are amazing and can do a lot nowadays to save animals 
39953,sad,Yes it was bad I dont think she is going to make it It is so upsetting
39998,lonely,No i do not But i wish someday after getting married i will have my own Do you like kids
39999,lonely,Wow You have already lived much of your life I am just 25 and about to start my own Hopefully it would be filled with children like yours
40000,lonely,Yes I do  I have 5 children  2 that have moved out and 2 that are transitioning and my baby who just started her freshman year  Ive been thinking sooner than later it will be just me
40001,lonely,My advice dont rush into being a parent How soon are you wishing to be married
40065,lonely,thats no good are you going to try to contact them again
40066,lonely,oh i see have you ever talked to him about trying again
